     phi1       Phi      phi2
  99.2887   98.0394   346.909
  91.5695    85.649   344.456
  138.406   100.579   15.6981
  174.116   81.8161   352.636
  128.943   102.175   337.576
  104.725   106.612   356.248
  175.186   89.6335   2.47248
  116.506   83.3271   1.72841
  147.009   84.1355   327.404
   151.43   86.6947   341.135
  174.039   95.8087   343.755
  107.876   72.8057   352.523
  148.573   100.245   337.353
  138.572    98.189   347.276
  144.983   77.6276   352.871
  91.9276   93.5967    350.53
  174.915   90.4249   4.63186
  171.678   91.9118 0.0566204
  152.205   79.0036   353.493
  172.473   94.5231   329.526
  164.159   66.6584   338.078
   134.12   106.749     354.1
   109.01   83.8461   343.736
   115.85   88.1791   1.74568
  108.946   77.2885   6.04451
  166.238   104.154   354.033
  147.721   96.4528   349.453
  99.5642   76.0217   353.843
  98.8657     102.4   349.734
  151.724   94.9451    338.38
  156.921   99.5238   2.43078
  155.425   93.0391   357.609
    120.5   88.3625   350.708
  137.196   101.486   350.828
  139.203    88.329   2.44001
  112.918   103.062   1.56027
  124.315   87.9988   356.773
  93.5192   81.9862   351.525
  133.492   86.1297    339.49
  148.257   106.087   4.13822
  163.053   81.3239   358.593
  128.189   93.2271    340.84
  124.904   82.1824   13.4968
    155.9   98.5266   9.47395
  171.612   84.9238   15.7427
   94.283   93.0059   347.533
  169.055   88.0977   348.783
  123.496   88.7289    349.05
  89.3315   103.246   348.921
      114   94.1283   355.379
  128.951   88.3266   3.45069
  132.851   98.8528   18.7584
  126.523   81.0556   345.314
  131.548   88.3661   4.56444
  129.352   81.9818    357.81
  114.872    98.708   347.543
  149.334   87.0563   359.692
   115.34   89.8022   337.354
  93.0912   88.1954   355.629
  101.981   94.9436   352.633
  155.398   82.3707   344.139
  135.962   85.7261   347.091
  175.257   100.941   346.455
  115.922   108.334   348.276
  164.982   99.3369   358.714
  146.561   95.4703   354.004
  156.619    96.515   355.228
  147.431   91.0667   357.458
  132.568   99.1729   345.276
  117.046    87.283   6.62099
  149.576   100.379   340.927
  96.2037    92.663   7.61274
  176.181   82.8032   348.264
  139.676   80.4295   353.045
  156.191    104.09   4.20572
  116.852   78.9489   9.41161
   176.31   78.2382   352.129
  110.568   87.7358   359.653
  172.137   82.8798   9.39183
  178.415   79.5589   355.214
   168.79   93.4014   12.3985
   139.43   94.6471   355.959
  135.546   94.0471   359.814
  109.943   80.9379   351.837
  144.619   95.5471   5.60783
  91.7483   93.7207    344.79
  127.576   93.6134   357.186
  99.7026   93.6151   353.068
  168.589   80.3668   350.569
  159.707   80.8851   358.935
  101.667   92.2774   357.874
  144.717   99.2672   355.545
  137.669   83.8713   353.092
  119.883   95.9249  0.254385
  142.609    79.397   357.377
  97.1627   85.1196   9.37962
  143.647   98.8538   356.062
  96.8269   86.4469   10.6327
  166.307    81.306   8.15509
  111.967   85.3824   353.235
  112.926   88.1696   336.826
  121.308   88.2138   346.606
  133.764   98.4601   347.031
  168.572   90.1224   3.54034
  110.866    93.593  0.684623
   164.04   95.9643   342.379
  99.0255   68.2186    358.42
  126.266   87.7544    349.89
  91.8943   92.6707   342.491
  97.6271   86.2299   1.89985
  179.874   93.5068   352.456
  137.071   98.2056   6.44256
  157.869   90.0173   354.149
  123.228   95.3107   355.462
  113.791   84.4393   352.244
  152.722   82.6937   358.381
  123.202   98.8306   359.036
  168.832   78.0835   351.928
  110.683   85.7248   351.158
  176.941   82.7778  0.216484
  136.804   94.1676   359.397
  175.663   88.6711   354.273
  134.842   94.8549   350.969
  169.895   85.7446   352.062
  154.495   83.6664   346.118
  172.791   85.5048   355.838
  172.514   86.5507   342.046
  108.759   78.1343   344.293
  168.361   81.4329   348.558
  160.459   105.804   337.612
  151.513   91.5252   349.472
  102.194   96.8628   7.49546
  130.304   94.7035   1.03045
  160.157   84.9164   358.021
  103.005   94.2563   348.208
  139.242    97.671   357.772
  179.046   93.8143   9.28132
  104.531   92.9763   344.344
  93.6275   92.8477   356.262
   100.36   81.4682   7.05242
  161.923   74.3606   353.802
  115.281   88.0583   340.569
  110.586   87.7917  0.684263
  122.654   77.7805   359.728
  164.315   91.3286    345.89
  139.704   83.4566    9.6816
   114.94   81.1107   12.1397
  162.626   98.9399   5.01975
  167.535   81.4269   342.175
  102.337   91.7196   351.248
  164.947   92.2199   352.404
